station	date	operateur	releve	herbe	sol_nu	roche	mousse	hauteur	ciel	rq_station	taxon	entendu	vu	fauche	stade	abondance	rq_ind	altitude	data_GPS	X_WGS84	Y_WGS84
G113	20/09/2018	BRAUD Yoan	3	80	15	5	0	9	ensoleille		Stenobothrus nigromaculatus	1			adulte	1		2490	20/09/2018	7.36446	44.06412
2019-11	29/09/2019	BRAUD Yoan	1410	95	5	0	0	10	ensoleille		Anonconotus baracunensis ligustinus		1		adulte	 +		2486	29/09/2019	7.510326	44.138152
G113	20/09/2018	BRAUD Yoan	3	80	15	5	0	9	ensoleille		Gomphocerinae sp			1	juvenile	3		2490	20/09/2018	7.36446	44.06412
A274	28/09/2019	BRAUD Yoan	1386	95	0	5	0	18	ensoleille	dynamique forestiere Meleze	Anonconotus baracunensis ligustinus		1		adulte	 +	interrogation sur l'identification du taxon	2166	28/09/2019	7.395392	44.04424
G113	20/09/2018	BRAUD Yoan	4	100	0	0	0	13	ensoleille		Stauroderus scalaris		1	1	adulte	1		2490	20/09/2018	7.36417	44.06405
A264	28/09/2019	BRAUD Yoan	1382	90	0	5	5	16	ensoleille		Anonconotus baracunensis ligustinus		1		adulte	1	Presence hors releve d'Ephippiger terrestris et de Calliptamus siciliae / Interrogation sur l'identification de l'espece Anonconotus b. ligustinus	2139	28/09/2019	7.394181	44.043039
G113	20/09/2018	BRAUD Yoan	4	100	0	0	0	13	ensoleille		Stenobothrus lineatus	1	1		adulte	1		2490	20/09/2018	7.36417	44.06405
G113	20/09/2018	BRAUD Yoan	4	100	0	0	0	13	ensoleille		Stenobothrus nigromaculatus	1	1		adulte	2		2490	20/09/2018	7.36417	44.06405
G113	20/09/2018	BRAUD Yoan	4	100	0	0	0	13	ensoleille		Anonconotus mercantouri		1		adulte	1		2490	20/09/2018	7.36417	44.06405
A264	28/09/2019	BRAUD Yoan	1384	75	5	2	18	8	ensoleille		Anonconotus baracunensis ligustinus		1		adulte	1	Presence hors releve d'Ephippiger terrestris et de Calliptamus siciliae / Interrogation sur l'identification de l'espece Anonconotus b. ligustinus	2131	28/09/2019	7.394458	44.042925
G113	20/09/2018	BRAUD Yoan	4	100	0	0	0	13	ensoleille		Gomphocerinae sp			1	juvenile	3		2490	20/09/2018	7.36417	44.06405
A306	27/09/2019	BRAUD Yoan	1366	90	10	0	0	8	ensoleille		Anonconotus baracunensis ligustinus		1		adulte	1	Presence hors releve d'Ephippiger terrestris / Individu d'Anonconotus b. ligustinus recolte 	2212	27/09/2019	7.423025	44.035611
A306	27/09/2019	BRAUD Yoan	1369	90	5	0	5	28	ensoleille		Anonconotus baracunensis ligustinus		1		adulte	2	Presence hors releve d'Ephippiger terrestris / Individu d'Anonconotus b. ligustinus recolte 	2208	27/09/2019	7.422594	44.035874
G113	20/09/2018	BRAUD Yoan	5	35	25	30	10	5	ensoleille		Myrmeleotettix maculatus	1	1		adulte	 ++		2490	20/09/2018	7.36434	44.06427
G113	20/09/2018	BRAUD Yoan	5	35	25	30	10	5	ensoleille		Podisma dechambrei		1		adulte	1		2490	20/09/2018	7.36434	44.06427
G113	20/09/2018	BRAUD Yoan	5	35	25	30	10	5	ensoleille		Stenobothrus nigromaculatus	1	1		adulte	 +		2490	20/09/2018	7.36434	44.06427
G113	20/09/2018	BRAUD Yoan	5	35	25	30	10	5	ensoleille		Gomphocerinae sp		1	1	juvenile	4		2490	20/09/2018	7.36434	44.06427
A306	27/09/2019	BRAUD Yoan	1370	90	5	0	5	26	ensoleille		Anonconotus baracunensis ligustinus		1		adulte	2	Presence hors releve d'Ephippiger terrestris / Individu d'Anonconotus b. ligustinus recolte 	2205	27/09/2019	7.422764	44.035678
G103	20/09/2018	BRAUD Yoan	6	80	20	0	0	8	ensoleille		Stauroderus scalaris	1	1		adulte	1		2240	20/09/2018	7.3691	44.06736
2019-28	13/09/2019	BRAUD Yoan	1246	100	0	0	0	7	ensoleille		Anonconotus baracunensis occidentalis		1		adulte	2		2344	13/09/2019	6.870186	44.375074
G103	20/09/2018	BRAUD Yoan	6	80	20	0	0	8	ensoleille		Podisma dechambrei		1	1	adulte	 +	photo	2240	20/09/2018	7.3691	44.06736
G103	20/09/2018	BRAUD Yoan	6	80	20	0	0	8	ensoleille		Stenobothrus lineatus	1	1		adulte	3		2240	20/09/2018	7.3691	44.06736
G103	20/09/2018	BRAUD Yoan	6	80	20	0	0	8	ensoleille		Stenobothrus nigromaculatus	1	1		adulte	4		2240	20/09/2018	7.3691	44.06736
G103	20/09/2018	BRAUD Yoan	6	80	20	0	0	8	ensoleille		Anonconotus ghiliani		1		adulte	1		2240	20/09/2018	7.3691	44.06736
G103	20/09/2018	BRAUD Yoan	6	80	20	0	0	8	ensoleille		Gomphocerinae sp		1		juvenile	2		2240	20/09/2018	7.3691	44.06736
2019-28	13/09/2019	BRAUD Yoan	1247	95	5	0	0	6	ensoleille		Anonconotus baracunensis occidentalis		1		adulte	2		2352	13/09/2019	6.870046	44.374928
2019-28	13/09/2019	BRAUD Yoan	1248	95	5	0	0	6	ensoleille		Anonconotus baracunensis occidentalis		1		adulte	+		2353	13/09/2019	6.869998	44.375213
G103	20/09/2018	BRAUD Yoan	7	80	10	5	5	13	ensoleille		Podisma dechambrei		1		adulte	4		2240	20/09/2018	7.36889	44.06714
G103	20/09/2018	BRAUD Yoan	7	80	10	5	5	13	ensoleille		Stenobothrus lineatus	1	1	1	adulte	3		2240	20/09/2018	7.36889	44.06714
G103	20/09/2018	BRAUD Yoan	7	80	10	5	5	13	ensoleille		Stenobothrus nigromaculatus	1	1		adulte	2		2240	20/09/2018	7.36889	44.06714
2019-28	13/09/2019	BRAUD Yoan	1250	95	5	0	0	5	ensoleille		Anonconotus baracunensis occidentalis		1		adulte	2		2347	13/09/2019	6.869805	44.37477
G103	20/09/2018	BRAUD Yoan	8	80	10	5	5	9	ensoleille		Stauroderus scalaris	1	1		adulte	2		2230	20/09/2018	7.36914	44.06718
G103	20/09/2018	BRAUD Yoan	8	80	10	5	5	9	ensoleille		Myrmeleotettix maculatus	1	1		adulte	2		2230	20/09/2018	7.36914	44.06718
G103	20/09/2018	BRAUD Yoan	8	80	10	5	5	9	ensoleille		Podisma dechambrei		1	1	adulte	 +		2230	20/09/2018	7.36914	44.06718
G103	20/09/2018	BRAUD Yoan	8	80	10	5	5	9	ensoleille		Stenobothrus lineatus	1	1		adulte	1		2230	20/09/2018	7.36914	44.06718
G103	20/09/2018	BRAUD Yoan	8	80	10	5	5	9	ensoleille		Gomphocerinae sp		1	1	juvenile	 +		2230	20/09/2018	7.36914	44.06718
2019-27	13/09/2019	BRAUD Yoan	1244	100	0	0	0	8	ensoleille		Anonconotus baracunensis occidentalis		1		adulte	2		2335	13/09/2019	6.868948	44.380717
G103	20/09/2018	BRAUD Yoan	9	85	15	0	0	11	ensoleille		Stauroderus scalaris	1	1		adulte	3		2220	20/09/2018	7.36916	44.06705
G103	20/09/2018	BRAUD Yoan	9	85	15	0	0	11	ensoleille		Podisma dechambrei		1		adulte	1		2220	20/09/2018	7.36916	44.06705
G103	20/09/2018	BRAUD Yoan	9	85	15	0	0	11	ensoleille		Stenobothrus nigromaculatus	1	1		adulte	2		2220	20/09/2018	7.36916	44.06705
G103	20/09/2018	BRAUD Yoan	9	85	15	0	0	11	ensoleille		Anonconotus ghiliani		1		adulte	1		2220	20/09/2018	7.36916	44.06705
G103	20/09/2018	BRAUD Yoan	9	85	15	0	0	11	ensoleille		Gomphocerinae sp		1	1	juvenile	3		2220	20/09/2018	7.36916	44.06705
2019-27	13/09/2019	BRAUD Yoan	1245	95	0	0	5	13	ensoleille		Anonconotus baracunensis occidentalis		1		adulte	1		2327	13/09/2019	6.869196	44.380541
G103	20/09/2018	BRAUD Yoan	10	55	15	30	0	13	ensoleille		Podisma dechambrei		1		adulte	 +		2220	20/09/2018	7.36957	44.06728
G103	20/09/2018	BRAUD Yoan	10	55	15	30	0	13	ensoleille		Stenobothrus lineatus		1		adulte	2		2220	20/09/2018	7.36957	44.06728
G103	20/09/2018	BRAUD Yoan	10	55	15	30	0	13	ensoleille		Anonconotus ghiliani		1		adulte	1		2220	20/09/2018	7.36957	44.06728
G103	20/09/2018	BRAUD Yoan	10	55	15	30	0	13	ensoleille		Anonconotus mercantouri		1		adulte	1		2220	20/09/2018	7.36957	44.06728
G103	20/09/2018	BRAUD Yoan	10	55	15	30	0	13	ensoleille		Gomphocerinae sp		1		juvenile	1		2220	20/09/2018	7.36957	44.06728
66	11/09/2019	GUIMIER Hubert	1490	65	0	25	0	10	ensoleille	Photo n�4510 et 4509	Anonconotus baracunensis occidentalis		1		adulte	1	Presence hors releve de Arcyptera fusca, Stenobothrus lineatus, Chorthippus saulcyi daimei	2595	11/09/2019	6.75649	44.261378
66	11/09/2019	GUIMIER Hubert	1489	65	0	25	0	10	ensoleille	Photo n�4510 et 4509	Anonconotus baracunensis occidentalis		1		adulte	+	Presence hors releve de Arcyptera fusca, Stenobothrus lineatus, Chorthippus saulcyi daimei	2591	11/09/2019	6.756339	44.26134
66	11/09/2019	GUIMIER Hubert	1488	99	0	1	0	20	ensoleille	Photo n�4510 et 4509	Anonconotus baracunensis occidentalis		1		adulte	+	Presence hors releve de Arcyptera fusca, Stenobothrus lineatus, Chorthippus saulcyi daimei	2581	11/09/2019	6.756164	44.261252
G83	20/09/2018	BRAUD Yoan	11	93	0	0	7	11	ensoleille		Omocestus viridulus	1	1		adulte	 +		2150	20/09/2018	7.37085	44.06642
G83	20/09/2018	BRAUD Yoan	11	93	0	0	7	11	ensoleille		Podisma dechambrei		1		adulte	 +		2150	20/09/2018	7.37085	44.06642
G83	20/09/2018	BRAUD Yoan	11	93	0	0	7	11	ensoleille		Stenobothrus lineatus	1	1		adulte	4		2150	20/09/2018	7.37085	44.06642
G83	20/09/2018	BRAUD Yoan	11	93	0	0	7	11	ensoleille		Stenobothrus nigromaculatus	1			adulte	1		2150	20/09/2018	7.37085	44.06642
G83	20/09/2018	BRAUD Yoan	11	93	0	0	7	11	ensoleille		Anonconotus mercantouri		1		adulte	 +		2150	20/09/2018	7.37085	44.06642
G83	20/09/2018	BRAUD Yoan	11	93	0	0	7	11	ensoleille		Gomphocerinae sp		1		juvenile	4		2150	20/09/2018	7.37085	44.06642
66	11/09/2019	GUIMIER Hubert	1487	85	5	10	0	15	ensoleille	Photo n�4510 et 4509	Anonconotus baracunensis occidentalis		1		adulte	2	Presence hors releve de Arcyptera fusca, Stenobothrus lineatus, Chorthippus saulcyi daimei	2580	11/09/2019	6.755925	44.26114
G83	20/09/2018	BRAUD Yoan	12	100	0	0	0	12	ensoleille		Stauroderus scalaris	1	1	1	adulte	4		2145	20/09/2018	7.37127	44.06657
G83	20/09/2018	BRAUD Yoan	12	100	0	0	0	12	ensoleille		Omocestus haemorrhoidalis			1	adulte	1		2145	20/09/2018	7.37127	44.06657
G83	20/09/2018	BRAUD Yoan	12	100	0	0	0	12	ensoleille		Stenobothrus lineatus	1	1		adulte	 +		2145	20/09/2018	7.37127	44.06657
G83	20/09/2018	BRAUD Yoan	12	100	0	0	0	12	ensoleille		Stenobothrus nigromaculatus	1			adulte	1		2145	20/09/2018	7.37127	44.06657
G83	20/09/2018	BRAUD Yoan	12	100	0	0	0	12	ensoleille		Anonconotus mercantouri		1		adulte	 +		2145	20/09/2018	7.37127	44.06657
G83	20/09/2018	BRAUD Yoan	12	100	0	0	0	12	ensoleille		Gomphocerinae sp		1	1	juvenile	 +		2145	20/09/2018	7.37127	44.06657
76	11/09/2019	BRAUD Yoan	1212	90	5	5	0	5	ensoleille		Anonconotus baracunensis occidentalis		1		adulte	1	Presence hors releve de Arcyptera fusca	2439	11/09/2019	6.754365	44.262487
G83	20/09/2018	BRAUD Yoan	13	70	20	10	0	12	ensoleille		Stauroderus scalaris	1	1		adulte	1		2145	20/09/2018	7.37121	44.0663
76	11/09/2019	BRAUD Yoan	1215	95	5	0	0	7	ensoleille		Anonconotus baracunensis occidentalis		1		adulte	2	Presence hors releve de Arcyptera fusca	2437	11/09/2019	6.754189	44.262496
G83	20/09/2018	BRAUD Yoan	13	70	20	10	0	12	ensoleille		Podisma dechambrei		1		adulte	3		2145	20/09/2018	7.37121	44.0663
G83	20/09/2018	BRAUD Yoan	13	70	20	10	0	12	ensoleille		Stenobothrus lineatus		1		adulte	1		2145	20/09/2018	7.37121	44.0663
G83	20/09/2018	BRAUD Yoan	13	70	20	10	0	12	ensoleille		Gomphocerinae sp		1	1	juvenile	3		2145	20/09/2018	7.37121	44.0663
107	9/09/2019	BRAUD Yoan	1191	90	0	10	0	7	ensoleille		Anonconotus baracunensis occidentalis		1		adulte	+	Presence hors releve d'Anonconotus ghiliani	2476	9/09/2019	6.764487	44.262728
G83	20/09/2018	BRAUD Yoan	14	60	15	20	5	8	ensoleille		Stauroderus scalaris	1	1		adulte	2		2145	20/09/2018	7.37112	44.06611
107	9/09/2019	BRAUD Yoan	1192	85	0	15	0	6	ensoleille		Anonconotus baracunensis occidentalis		1		adulte	3	Presence hors releve d'Anonconotus ghiliani	2475	9/09/2019	6.764256	44.262688
G83	20/09/2018	BRAUD Yoan	14	60	15	20	5	8	ensoleille		Podisma dechambrei		1		adulte	3		2145	20/09/2018	7.37112	44.06611
G83	20/09/2018	BRAUD Yoan	14	60	15	20	5	8	ensoleille		Stenobothrus lineatus	1	1		adulte	3		2145	20/09/2018	7.37112	44.06611
107	9/09/2019	BRAUD Yoan	1193	75	10	15	0	11	ensoleille		Anonconotus baracunensis occidentalis		1		adulte	1	Presence hors releve d'Anonconotus ghiliani	2481	9/09/2019	6.763991	44.262632
107	9/09/2019	BRAUD Yoan	1195	75	5	15	5	6	ensoleille		Anonconotus baracunensis occidentalis		1		adulte	2	Presence hors releve d'Anonconotus ghiliani	2490	9/09/2019	6.764486	44.262557
G83	20/09/2018	BRAUD Yoan	15	65	25	5	5	16	ensoleille		Podisma dechambrei		1		adulte	 +		2150	20/09/2018	7.37097	44.06625
G83	20/09/2018	BRAUD Yoan	15	65	25	5	5	16	ensoleille		Stenobothrus lineatus	1	1		adulte	3		2150	20/09/2018	7.37097	44.06625
G83	20/09/2018	BRAUD Yoan	15	65	25	5	5	16	ensoleille		Stenobothrus nigromaculatus	1	1		adulte	2		2150	20/09/2018	7.37097	44.06625
G83	20/09/2018	BRAUD Yoan	15	65	25	5	5	16	ensoleille		Anonconotus mercantouri		1		adulte	1		2150	20/09/2018	7.37097	44.06625
2019-40	8/09/2019	BRAUD Yoan	1156	100	0	0	0	9	ensoleille		Anonconotus baracunensis occidentalis		1		adulte	3		2304	8/09/2019	6.785938	44.243584
2019-40	8/09/2019	BRAUD Yoan	1158	95	0	0	5	19	ensoleille		Anonconotus baracunensis occidentalis		1		adulte	2		2295	8/09/2019	6.785393	44.243896
G73	20/09/2018	BRAUD Yoan	16	90	5	0	5	10	ensoleille	surpature, landine a genevirer rampant	Stauroderus scalaris	1	1	1	adulte	3		2100	20/09/2018	7.375	44.06453
G73	20/09/2018	BRAUD Yoan	16	90	5	0	5	10	ensoleille	surpature, landine a genevirer rampant	Podisma dechambrei		1		adulte	2		2100	20/09/2018	7.375	44.06453
G73	20/09/2018	BRAUD Yoan	16	90	5	0	5	10	ensoleille	surpature, landine a genevirer rampant	Stenobothrus lineatus	1	1		adulte	2		2100	20/09/2018	7.375	44.06453
G73	20/09/2018	BRAUD Yoan	16	90	5	0	5	10	ensoleille	surpature, landine a genevirer rampant	Ephippiger terrestris	1	1		adulte	1		2100	20/09/2018	7.375	44.06453
2019-40	8/09/2019	BRAUD Yoan	1159	90	0	10	0	18	ensoleille		Anonconotus baracunensis occidentalis		1		adulte	1		2293	8/09/2019	6.785707	44.243898
G73	20/09/2018	BRAUD Yoan	17	90	5	5	0	18	ensoleille	surpature, landine a genevirer rampant	Stauroderus scalaris	1	1		adulte	2		2110	20/09/2018	7.37453	44.06418
G73	20/09/2018	BRAUD Yoan	17	90	5	5	0	18	ensoleille	surpature, landine a genevirer rampant	Podisma dechambrei		1		adulte	1		2110	20/09/2018	7.37453	44.06418
G73	20/09/2018	BRAUD Yoan	17	90	5	5	0	18	ensoleille	surpature, landine a genevirer rampant	Stenobothrus lineatus	1	1		adulte	1		2110	20/09/2018	7.37453	44.06418
G73	20/09/2018	BRAUD Yoan	17	90	5	5	0	18	ensoleille	surpature, landine a genevirer rampant	Ephippiger terrestris	1			adulte	1		2110	20/09/2018	7.37453	44.06418
G73	20/09/2018	BRAUD Yoan	17	90	5	5	0	18	ensoleille	surpature, landine a genevirer rampant	Gomphocerinae sp		1		juvenile	1		2110	20/09/2018	7.37453	44.06418
2019-40	8/09/2019	BRAUD Yoan	1160	90	0	10	0	12	ensoleille		Anonconotus baracunensis occidentalis		1		adulte	1		2301	8/09/2019	6.785886	44.24376
G73	20/09/2018	BRAUD Yoan	18	80	15	5	0	4	ensoleille	surpature, landine a genevirer rampant	Stauroderus scalaris	1	1	1	adulte	5		2100	20/09/2018	7.37499	44.06433
G73	20/09/2018	BRAUD Yoan	18	80	15	5	0	4	ensoleille	surpature, landine a genevirer rampant	Podisma dechambrei		1		adulte	1		2100	20/09/2018	7.37499	44.06433
G73	20/09/2018	BRAUD Yoan	18	80	15	5	0	4	ensoleille	surpature, landine a genevirer rampant	Stenobothrus lineatus		1		adulte	3		2100	20/09/2018	7.37499	44.06433
G73	20/09/2018	BRAUD Yoan	18	80	15	5	0	4	ensoleille	surpature, landine a genevirer rampant	Ephippiger terrestris	1	1		adulte	2		2100	20/09/2018	7.37499	44.06433
2019_41	8/09/2019	BRAUD Yoan	1151	70	5	25	0	11	ensoleille		Anonconotus baracunensis occidentalis		1		adulte	3		2380	8/09/2019	6.791244	44.239395
G73	20/09/2018	BRAUD Yoan	19	75	10	15	0	2	ensoleille	surpature, landine a genevirer rampant	Stauroderus scalaris	1	1		adulte	2		2100	20/09/2018	7.37489	44.06417
G73	20/09/2018	BRAUD Yoan	19	75	10	15	0	2	ensoleille	surpature, landine a genevirer rampant	Podisma dechambrei		1		adulte	1		2100	20/09/2018	7.37489	44.06417
2019_41	8/09/2019	BRAUD Yoan	1152	90	5	5	0	13	ensoleille		Anonconotus baracunensis occidentalis		1		adulte	1		2382	8/09/2019	6.791017	44.239536
G73	20/09/2018	BRAUD Yoan	20	75	10	15	0	4	ensoleille	surpature, landine a genevirer rampant	Stauroderus scalaris	1	1		adulte	 +		2090	20/09/2018	7.3753	44.06431
G73	20/09/2018	BRAUD Yoan	20	75	10	15	0	4	ensoleille	surpature, landine a genevirer rampant	Podisma dechambrei		1		adulte	1		2090	20/09/2018	7.3753	44.06431
G73	20/09/2018	BRAUD Yoan	20	75	10	15	0	4	ensoleille	surpature, landine a genevirer rampant	Ephippiger terrestris		1		adulte	1		2090	20/09/2018	7.3753	44.06431
2019_41	8/09/2019	BRAUD Yoan	1154	90	3	5	2	5	ensoleille		Anonconotus baracunensis occidentalis		1		adulte	3		2374	8/09/2019	6.790791	44.239502
G144	20/09/2018	BRAUD Yoan	21	50	0	45	5	4	ensoleille		Podisma dechambrei		1	1	melange (juveniles et adultes)	 +		2250	20/09/2018	7.3736	44.07254
G144	20/09/2018	BRAUD Yoan	21	50	0	45	5	4	ensoleille		Anonconotus mercantouri		1	1	adulte	 +++		2250	20/09/2018	7.3736	44.07254
2019_41	8/09/2019	BRAUD Yoan	1155	90	5	5	0	12	ensoleille		Anonconotus baracunensis occidentalis		1		adulte	+		2377	8/09/2019	6.791039	44.239394
G144	20/09/2018	BRAUD Yoan	22	45	0	45	10	4	ensoleille		Podisma dechambrei		1		adulte	 +		2250	20/09/2018	7.37316	44.07223
G144	20/09/2018	BRAUD Yoan	22	45	0	45	10	4	ensoleille		Anonconotus mercantouri		1		adulte	 +		2250	20/09/2018	7.37316	44.07223
G144	20/09/2018	BRAUD Yoan	22	45	0	45	10	4	ensoleille		Gomphocerinae sp		1		juvenile	1		2250	20/09/2018	7.37316	44.07223
2019_42	8/09/2019	BRAUD Yoan	1146	100	0	0	0	14	ensoleille		Anonconotus baracunensis occidentalis		1		adulte	++		2454	8/09/2019	6.798327	44.238983
G144	20/09/2018	BRAUD Yoan	23	45	0	40	15	3	ensoleille		Podisma dechambrei		1		adulte	5		2250	20/09/2018	7.37325	44.07245
G144	20/09/2018	BRAUD Yoan	23	45	0	40	15	3	ensoleille		Anonconotus mercantouri		1		adulte	 +		2250	20/09/2018	7.37325	44.07245
G144	20/09/2018	BRAUD Yoan	24	50	0	45	5	3	ensoleille		Podisma dechambrei		1		adulte	2		2250	20/09/2018	7.37306	44.07249
G144	20/09/2018	BRAUD Yoan	24	50	0	45	5	3	ensoleille		Anonconotus mercantouri		1		melange (juveniles et adultes)	 +		2250	20/09/2018	7.37306	44.07249
2019_42	8/09/2019	BRAUD Yoan	1147	90	0	5	5	8	ensoleille		Anonconotus baracunensis occidentalis		1		adulte	+		2452	8/09/2019	6.797982	44.239086
G144	20/09/2018	BRAUD Yoan	25	45	0	30	25	2	ensoleille		Podisma dechambrei		1		adulte	4		2250	20/09/2018	7.37318	44.07274
G144	20/09/2018	BRAUD Yoan	25	45	0	30	25	2	ensoleille		Anonconotus mercantouri		1		melange (juveniles et adultes)	 +		2250	20/09/2018	7.37318	44.07274
2019_42	8/09/2019	BRAUD Yoan	1150	75	0	20	5	7	ensoleille		Anonconotus baracunensis occidentalis		1		adulte	2		2456	8/09/2019	6.798299	44.239203
336	7/09/2018	BRAUD Yoan	500	50	30	20	0	13	ensoleille		Podisma dechambrei		1		adulte	1		2620	20/09/2018	6.73518	44.25238
A164	23/07/2018	BRAUD Yoan	540	80	5	14	1	26	ensoleille		Calliptamus sp		1	1	juvenile	 +		1170	23/07/2018 12:56	7.42868	43.94625
Ventoux 3	5/08/2019	Yoan BRAUD	MV17	85	0	5	10	25	ensoleille		Chorthippus brunneus brunneus	1	1		adulte	2		828	5/08/2019	5.264299	44.123424
A164	23/07/2018	BRAUD Yoan	540	80	5	14	1	26	ensoleille		Euchorthippus sp		1	1	juvenile	 + 		1170	23/07/2018 12:56	7.42868	43.94625
A164	23/07/2018	BRAUD Yoan	540	80	5	14	1	26	ensoleille		Stenobothrus lineatus	1	1	1	adulte	2		1170	23/07/2018 12:56	7.42868	43.94625
A164	23/07/2018	BRAUD Yoan	540	80	5	14	1	26	ensoleille		Yersinella sp		1		juvenile	3		1170	23/07/2018 12:56	7.42868	43.94625
A164	23/07/2018	BRAUD Yoan	540	80	5	14	1	26	ensoleille		Gomphocerinae sp		1	1	juvenile	 +++		1170	23/07/2018 12:56	7.42868	43.94625
A164	9/08/2018	BRAUD Yoan (+MANSONS Jerome, COUTURIER Thibaut)	540	95	2	3	0	20	ensoleille		Calliptamus siciliae		1	1	adulte	2		1170	23/07/2018 12:56	7.42868	43.94625
Ventoux 8	6/08/2019	Yoan BRAUD	MV41	5	0	95	0	8	ensoleille	Beaucoup de vent	Chorthippus brunneus brunneus	1	1	1	adulte	2		1847	6/08/2019	5.282736	44.174501
A164	9/08/2018	BRAUD Yoan (+MANSONS Jerome, COUTURIER Thibaut)	540	95	2	3	0	20	ensoleille		Euchorthippus elegantulus		1	1	adulte	4		1170	23/07/2018 12:56	7.42868	43.94625
A164	9/08/2018	BRAUD Yoan (+MANSONS Jerome, COUTURIER Thibaut)	540	95	2	3	0	20	ensoleille		Pezotettix giornae		1	1	adulte	4		1170	23/07/2018 12:56	7.42868	43.94625
A164	9/08/2018	BRAUD Yoan (+MANSONS Jerome, COUTURIER Thibaut)	540	95	2	3	0	20	ensoleille		Oecanthus pellucens			1	juvenile	1		1170	23/07/2018 12:56	7.42868	43.94625
